,Constituents,load-generation balance,supply power to homes even in the event of an electric grid outage,to ensure the comfort of its occupants by enhancing the automation to relief them from manual control of different services while increasing the energy savings,minimize the average vehicle waiting time in the network,"north-to-south, red-to-green transition times",avoid many simultaneous charging cycles,minimum peak loads emerging,cost limits are not exceeded,balance between energy production and consumption,optimise energy usage in a range of weather conditions,promote to use a VPP from a new electricity production cost policy,cluster together into local energy collectives,market mechanisms,peak optimization,distributed negotiations between groups,optimizations of the decisions of the Smart Grid given the best control design,"to use as much as possible of the locally produced renewable energy and transact energy to decrease operational costs, optimizing its integration in smart grid advanced context.",system disruption responses and minimization of  the overall costs of satisfying total demand from the system in these events,agents perform different functions based on their unique advantages relative to other agents postdisruption,"coordination mechanism, dynamic reorganization and coordination of the network under a disruption",Negotiation and collaboration for resource allocation and demand efficiency,Resolution of potencial conflicts,supply power power to the electric load,Different responses according to different demand/response schemes (price-based),decision about the best control design of the Smart Grid,to proactively plan the DC operation as a system to be able to exploit its latent flexible energy to achieve a deeper and more efficient integration with the local Smart Grid.,energy consumption/production patterns,demand side management,battery storage models,use storage and demand-response techniques,balance energy consumption and production,deploy batteries in different ways depending on the behaviour of their members,Optimize the overall charging behavior,grid stability,control the battery and enhance the operation of the system,decrease the power consumption from power utility by using available energy from the solar panels,minimize the local waiting time for vehicles,Balance between battery consumption and energy production
10,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Diesel Generator Agent', 'Smart Grid CS', 'Sensors', 'Central controller', 'Photovoltaic System', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Smart Grid CS', 'Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems', 'Wind Energy system', 'Transformer', 'Transmission line', 'Central controller', 'Sensors', 'IT Servers', 'Photovoltaic System', 'electric vehicles']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'electric vehicles', 'Photovoltaic System', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"['distributed traffic lights network', 'Storage Agent', 'Battery storages', 'Photovoltaic System', 'electric vehicles', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Population survey data', 'Photovoltaic System', 'Wind Energy system', 'electric vehicles']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Diesel Generator Agent', 'Transfer Switch', 'IT Servers', 'Thermal Storage Device (TES)', 'Cooling System', 'Power Distribution Unit (PDU)', 'Wind Energy system', 'Transformer', 'Transmission line', 'Central controller', 'Sensors']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"['smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'one heating system', 'Central controller', 'Storage Agent', 'Battery storages', 'Transformer', 'Transmission line', 'Sensors', 'IT Servers']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"['Group (Representative) Agent - collectives', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Storage Agent', 'Battery storages', 'Transformer', 'Transmission line', 'Central controller', 'Sensors', 'IT Servers', 'Photovoltaic System', 'electric vehicles', 'Wind Energy system', 'distributed traffic lights network']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Commercial Greenhouse Growers (CGGs)', 'Virtual Power Plant (VPP) - Generator units/Controllable loads/Storage systems', 'Transformer', 'Transmission line', 'Central controller', 'Sensors', 'IT Servers', 'Photovoltaic System', 'electric vehicles', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Lighting CS', 'Smart Grid CS', 'Audiovisual Management CS', 'Online Scheduling CS', 'Fire Detection CS', 'Security Surveillance CS', 'Emergency Management CS', 'Photovoltaic System', 'electric vehicles', 'Wind Energy system']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Transportation system (prosumer)', 'Oil & gas supply sytem (prosumer)', 'Water supply system (prosumer)', 'Smart Grid CS', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'provider of raw material', 'Photovoltaic System', 'electric vehicles', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"['Market Agent', 'Storage Agent', 'Optimizer Agent', 'Group (Representative) Agent - collectives', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Service providers', 'Battery storages', 'Electric Load', 'Transformer', 'Transmission line', 'Central controller', 'Sensors', 'IT Servers']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Group (Representative) Agent - collectives', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Photovoltaic System', 'electric vehicles', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"['Group (Representative) Agent - collectives', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Storage Agent', 'Battery storages', 'Electric Load', 'Photovoltaic System', 'electric vehicles', 'Wind Energy system', 'distributed traffic lights network']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Market Agent', 'Optimizer Agent', 'Group (Representative) Agent - collectives', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Service providers', 'Transformer', 'Transmission line', 'Central controller', 'Sensors', 'IT Servers']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"['Building Management System (BMS)', 'Diesel Generator Agent', 'Smart Grid CS', 'Sensors', 'Central controller', 'Photovoltaic System', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"['Photovoltaic System', 'electric vehicles', 'Storage Agent', 'Battery storages', 'Transformer', 'Transmission line', 'Central controller', 'Sensors', 'IT Servers']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,"['Diesel Generator Agent', 'Transfer Switch', 'Storage Agent', 'Battery storages', 'IT Servers', 'Thermal Storage Device (TES)', 'Cooling System', 'Power Distribution Unit (PDU)', 'Wind Energy system', 'Electric Load', 'Transformer', 'Transmission line', 'Central controller', 'Sensors']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'one home automation system', 'one vehicle parking system', 'Transformer', 'Transmission line', 'Central controller', 'Sensors', 'IT Servers', 'Photovoltaic System', 'electric vehicles', 'Wind Energy system']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Photovoltaic System', 'electric vehicles']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Photovoltaic System', 'Wind Energy system', 'charging station for electric vehicles', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Transformer', 'Transmission line']",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Market Agent', 'Optimizer Agent', 'Group (Representative) Agent - collectives', '(Prosumers) Households with Photovoltaic cells and wind turbines', 'Service providers']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"['Storage Agent', 'Battery storages', 'Electric Load', 'Building Management System (BMS)', 'Heating/Ventilation and Air-Conditioning system (HVAC)', 'smart home applications utilizing IoT technologies', 'Electric Appliances (lights/refrigerators/freezers/washers/dyers/water heaters/baseload)', 'one heating system', 'distributed traffic lights network', 'Transformer', 'Transmission line', 'Central controller', 'Sensors', 'IT Servers', 'Photovoltaic System', 'electric vehicles', 'Wind Energy system']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
